单词,翻译,语言,难度,例句,备注
hello,你好,英语,easy,"Hello, how are you?",基本问候语
beautiful,美丽的,英语,medium,"She is a beautiful girl.",形容词
computer,电脑,英语,easy,"I use my computer every day.",现代设备
こんにちは,你好,日语,easy,"こんにちは、元気ですか？",日语问候语
ありがとう,谢谢,日语,easy,"ありがとうございます。",感谢用语
안녕하세요,你好,韩语,easy,"안녕하세요, 어떻게 지내세요?",韩语问候语
bonjour,你好,法语,easy,"Bonjour, comment allez-vous?",法语问候语
guten Tag,你好,德语,medium,"Guten Tag, wie geht es Ihnen?",德语问候语
hola,你好,西班牙语,easy,"Hola, ¿cómo estás?",西班牙语问候语
ciao,你好/再见,意大利语,easy,"Ciao, come stai?",意大利语问候
привет,你好,俄语,medium,"Привет, как дела?",俄语问候语
مرحبا,你好,阿拉伯语,hard,"مرحبا، كيف حالك؟",阿拉伯语问候语
apple,苹果,英语,easy,"I eat an apple every day.",常见水果
book,书,英语,easy,"This is a very interesting book.",学习工具
water,水,英语,easy,"I need to drink more water.",生命必需
学习,study,中文,medium,"我正在学习英语。",动词
苹果,apple,中文,easy,"我喜欢吃苹果。",水果
世界,world,中文,easy,"世界很大。",名词
